brand,series,model,ad_title,year,mileage,color,price,ad_date,city,district,url
Audi,A3,A3 Sportback 1.6 TDI,2013 ÇIKIŞLI DEĞİŞENSİZ OTOMATİK VİTES TEMİZ,2012,237000,Beyaz,608500.0,24 Mayıs 2023,İstanbul,Pendik,/ilan/vasita-otomobil-audi-2013-cikisli-degisensiz-otomatik-vites-temiz-1100010240/detay
Audi,A4,A4 Sedan 1.8 TFSI,Orjinal Araba,2009,248000,Siyah,610000.0,19 Mayıs 2023,Ankara,Mamak,/ilan/vasita-otomobil-audi-orjinal-araba-1100351658/detay
Audi,A3,A3 Sportback 1.6 TDI,Sahibinden bakımlı A3,2012,344100,Siyah,620000.0,22 Mayıs 2023,Mersin,Erdemli,/ilan/vasita-otomobil-audi-sahibinden-bakimli-a3-1101043271/detay
Audi,A6,A6 Sedan 3.0 TDI Quattro,Acil Sahibinden,2010,455000,Siyah,623000.0,22 Mayıs 2023,İstanbul,Bağcılar,/ilan/vasita-otomobil-audi-acil-sahibinden-1100977011/detay
Audi,A3,A3 Sportback 1.6 TDI,2012 MODEL OTOMATİK VİTES,2012,295000,Beyaz,630000.0,18 Mayıs 2023,Ankara,Gölbaşı,/ilan/vasita-otomobil-audi-2012-model-otomatik-vites-1097894174/detay
Audi,A4,A4 Sedan 1.8 TFSI,AUDİ TFSİ 2009 KUPON ARAC ACİL SON FİYAT PAZARLİKSİZ 635000 TL,2009,202000,Siyah,635000.0,24 Mayıs 2023,Kocaeli,Karamürsel,/ilan/vasita-otomobil-audi-audi-tfsi-2009-kupon-arac-acil-son-fiyat-pazarliksiz-635000-tl-1083631140/detay
Audi,A6,A6 Sedan 2.0 TDI,İLK SAHİBİNDEN! AUDI A6 2.0 TDI HATASIZ DEĞİŞENSİZ,2008,319000,Füme,635000.0,23 Mayıs 2023,İstanbul,Maltepe,/ilan/vasita-otomobil-audi-ilk-sahibinden-audi-a6-2.0-tdi-hatasiz-degisensiz-1101302043/detay
Audi,A3,A3 Sportback 1.6 TDI,Sahibinden Hasar kayıtsız Dizel otomatik A3 Led paket düşük km,2012,98000,Beyaz,635500.0,18 Mayıs 2023,Konya,Selçuklu,/ilan/vasita-otomobil-audi-sahibinden-hasar-kayitsiz-dizel-otomatik-a3-led-paket-dusuk-km-1100207262/detay
Audi,A3,A3 Sportback 1.6 TDI,Yeni Bakımlı A3 Dizel Otomatik Seçim Sonrası Fiyat Değişecek,2012,165000,Siyah,637500.0,25 Mayıs 2023,İstanbul,Ümraniye,/ilan/vasita-otomobil-audi-yeni-bakimli-a3-dizel-otomatik-secim-sonrasi-fiyat-degisecek-1101683267/detay
Audi,A4,A4 Sedan 2.0 TDI S Line,S-LİNE 2.0 TDİ F1 VİTES TÜRKİYE'DE TEK,2006,285000,Gri,645000.0,19 Mayıs 2023,Sakarya,Adapazarı,/ilan/vasita-otomobil-audi-s-line-2.0-tdi-f1-vites-turkiye-de-tek-1100292627/detay
Audi,A6,A6 Sedan 2.7 T Quattro,BAKIMLI İDDİALİ,2004,260000,Gri,645000.0,18 Mayıs 2023,Samsun,Atakum,/ilan/vasita-otomobil-audi-bakimli-iddiali-1100148387/detay
Audi,A3,A3 Sportback 1.6 TDI,Temiz Sahibinden Otomatik 1.6 TDI Dosta Gidecek Sigara İçilmemiş 105 hp,2012,295000,Beyaz,755000.0,22 Mayıs 2023,Manisa,Akhisar,/ilan/vasita-otomobil-audi-temiz-sahibinden-otomatik-16-tdi-sb2f-gidecek-sigara-icilmemis-105-hp-846886555/detay
Audi,A3,A3 Sportback 1.6 TDI,TOGG KURASI CIKTIGINDAN DOLAYI SATILIK AUDI A3 2013 MODEL.,2013,185000,Beyaz,652000.0,19 Mayıs 2023,Kayseri,Melikgazi,/ilan/vasita-otomobil-audi-togg-kurasi-ciktigindan-dolayi-satilik-audi-a3-2013-model-1100238321/detay
Audi,80 Serisi,2.0 Quattro,Audi 80 Competition Quattro - Sahibinden - Orijinal - Hatasiz,1994,235000,Siyah,655000.0,20 Mayıs 2023,Ankara,Çankaya,/ilan/vasita-otomobil-audi-audi-80-competition-quattro-sahibinden-orijinal-hatasiz-1092265693/detay
Audi,A4,A4 Sedan 2.0 TDI,ACİLL AUDİ A4 2012 MODEL 2.0 TDI MULTİTRONİC,2012,275000,Siyah,665000.0,20 Mayıs 2023,İstanbul,Bakırköy,/ilan/vasita-otomobil-audi-acill-audi-a4-2012-model-2.0-tdi-multitronic-1100539164/detay
Audi,A3,A3 Hatchback 1.6,Audi A3 Tertemiz Değişensiz tramersiz 121 Bin Km,2010,121000,Siyah,665000.0,19 Mayıs 2023,İstanbul,Fatih,/ilan/vasita-otomobil-audi-audi-a3-tertemiz-degisensiz-tramersiz-121-bin-km-1099984620/detay
Audi,A6,A6 Sedan 2.0 TFSI,43 favoriye duyuru Sitenin en uygunu son bir hafta,2009,206800,Siyah,672500.0,25 Mayıs 2023,Antalya,Manavgat,/ilan/vasita-otomobil-audi-43-favoriye-duyuru-sitenin-en-uygunu-son-bir-hafta-1094871042/detay
Audi,A3,A3 Sportback 1.6 TDI,Model yükselteceğim için satılıktır,2011,192000,Beyaz,673000.0,21 Mayıs 2023,İstanbul,Kartal,/ilan/vasita-otomobil-audi-model-yukseltecegim-icin-satiliktir-1100759282/detay
Audi,A4,A4 Sedan 2.0 TDI,SAHİBİNDEN TEMİZ ORJİNAL HATASIZ AYARINDA AUİDİ...,2008,302000,Beyaz,679500.0,19 Mayıs 2023,Manisa,Şehzadeler,/ilan/vasita-otomobil-audi-sahibinden-temiz-orjinal-hatasiz-ayarinda-auidi-1100376079/detay
